张让,,130,12,1,84,66,24,737,ZhangRang,
于吉,,131,12,6,66,88,95,496,YuJi,
陶谦,恭祖,132,51,27,63,63,77,67,TaoQian,
刘焉,君郎,132,53,38,80,81,85,70,LiuYan,
皇甫嵩,义真,132,87,61,73,51,72,201,HuangFuSong,
陈珪,汉瑜,132,15,4,82,77,76,299,ChenGui,
何进,遂高,135,39,40,6,41,68,530,HeJin,
王允,子师,137,26,6,67,80,76,171,WangYun,
丁原,建阳,137,70,76,35,40,74,532,DingYuan,
董卓,仲颖,139,74,87,69,19,37,68,DongZhuo,
卢植,子干,139,86,63,82,85,81,200,LuZhi,
张角,,140,86,25,86,80,98,520,ZhangJiao,
程昱,仲德,141,70,49,90,79,58,106,ChengYu,
刘表,景升,142,48,31,71,81,83,74,LiuBiao,
韩遂,文约,142,89,70,77,61,80,83,HanSui,
严白虎,,142,67,70,23,21,41,297,YanBaiHu,
桥蕤,,143,64,69,38,41,58,318,QiaoRui,
张曼成,,143,73,81,45,37,53,713,ZhangManCheng,
娄圭,子伯,143,52,13,87,67,15,729,LouGui,
张济,,144,70,66,52,53,55,392,ZhangJi,
邹靖,,144,70,64,66,59,67,514,ZouJing,
刘辟,,145,70,72,47,34,55,257,LiuBi,
刘虞,伯安,145,55,33,69,78,92,459,LiuYu,
严舆,,145,61,78,44,20,29,471,YanYu,
程远志,,145,69,74,17,24,35,523,ChengYuanZhi,
高升,,145,67,73,41,21,27,525,GaoSheng,
波才,,145,71,74,52,25,33,715,BoCai,
郭汜,,146,64,76,13,14,13,236,GuoSi,
麴义,,146,82,78,51,18,37,259,QuYi,
淳于琼,仲简,146,72,66,29,29,36,293,ChunYuQiong,
胡轸,文才,146,65,74,12,15,21,485,HuZhen,
贾诩,文和,147,86,48,97,85,57,42,GuXu,
徐荣,,147,80,76,57,43,42,265,XuRong,
刘岱,公山,147,53,65,32,54,42,447,LiuDai,
邓茂,,147,61,75,29,17,28,528,DengMao,
李傕,稚然,148,69,72,24,1,17,69,LiJue,
黄祖,,148,74,66,53,38,32,179,HuangZu,
张宝,,148,83,71,81,64,82,521,ZhangBao,
邹丹,,148,61,64,34,37,39,551,ZouDan,
黄忠,汉升,148,86,93,60,52,75,1023,HuangZhong,
马腾,寿成,149,82,80,51,59,89,27,MaTeng,
韩馥,文节,149,13,3,27,62,60,53,HanFu,
朱儁,公伟,149,78,65,70,71,73,267,ZhuJun,
董旻,叔颖,149,49,60,25,12,23,411,DongMin,
樊稠,,149,66,73,31,24,39,417,FanChou,
桥瑁,元伟,150,54,45,69,72,73,54,QiaoMao,
李儒,,150,61,26,93,75,38,119,LiRu,
袁遗,伯业,150,56,40,73,76,70,488,YuanWei,
许劭,子将,150,16,11,74,90,82,499,XuShao,
王匡,公节,150,65,55,61,70,80,519,WangKuang,
严颜,,151,79,83,69,67,79,16,YanYan,
孔伷,公绪,151,26,16,68,78,64,57,KongZhou,
程普,德谋,151,84,79,79,74,85,161,ChengPu,
钟繇,元常,151,70,24,76,91,80,198,ZhongYao,
